tanggal,id_komoditas,nama_komoditas,id_harga_pangan,nama_pasar,harga
2024-03-14,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-15,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-16,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-17,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-18,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-19,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-20,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,64000.0
2024-03-21,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,44000.0
2024-03-22,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,34000.0
2024-03-23,16.0,"Cabai Merah Besar,1 kg",eyJpdiI6InM5eE16Z1ZtRDUzZEEvYnhVVmZmSFE9PSIsInZhbHVlIjoiT2JYZkwzWlJwVzZsaXVUT2NHdmlRdz09IiwibWFjIjoiZmUwNjA4ZTIxYzJmNGFjNThlNTg3YmE0YTc5ZWUwMGJmYTIwODYwZjE4YmNjZmJmMzdhN2RlYjAyODZkOGQ4NiIsInRhZyI6IiJ9,Pasar Beringharjo,34000.0
